Date,Close,Open,High,Low,DAXClose,SPClose,DFFR,EURINF,USAINF,GERLTINT,EURLTINT,USACPI,USAUNEMP
7/8/2016,1.1054,1.1063,1.1115,1.1002,9629.660156,2129.9,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/11/2016,1.1058,1.1052,1.1076,1.1016,9833.410156,2137.16,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/12/2016,1.1059,1.1058,1.1128,1.1051,9964.070313,2152.14,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/13/2016,1.109,1.1061,1.1121,1.1043,9930.709961,2152.43,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/14/2016,1.112,1.1089,1.1166,1.1085,10068.29981,2163.75,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/15/2016,1.1036,1.1118,1.115,1.1023,10066.90039,2161.74,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/18/2016,1.1074,1.1043,1.1086,1.1038,10063.12988,2166.89,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/19/2016,1.1022,1.1073,1.1086,1.0999,9981.240234,2163.78,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/20/2016,1.1015,1.102,1.1032,1.0981,10142.00977,2173.02,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/21/2016,1.1025,1.1013,1.106,1.0981,10156.20996,2165.17,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/22/2016,1.0976,1.103,1.1043,1.0954,10147.45996,2175.03,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/25/2016,1.0994,1.0972,1.1002,1.0954,10198.24023,2168.48,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/26/2016,1.0987,1.0997,1.1031,1.0978,10247.75977,2169.18,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/27/2016,1.1058,1.0986,1.1068,1.0963,10319.54981,2166.58,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/28/2016,1.1075,1.1058,1.1119,1.1048,10274.92969,2170.06,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
